Boundary ID,System Name,Boundary Type,System Type,Population Served,Connections,Census Population Allocated,Arsenic (ppb),Hexavalent Chromium (ppb),Cadmium (ppb),DBCP (ppb),Lead (ppb),Nitrate (ppm),Perchlorate (ppb),PCE (ppb) ,TCE (ppb),TCP (ppb),TTHMs (ppb),"Combination Radium 226, 228 (PCI/L)",Uraniuim (PCI/L)
64020,Township,Township,NA,NA,NA,1649,4.359,,0,0.225,0,12.532,0,0.167,0,0,0.326,,0.707
64022,Township,Township,NA,NA,NA,207,0,,0,0.4,0,1.414,0,0,0,,,,0.707
64036,Township,Township,NA,NA,NA,177,2.447,,0,0.08,0.5,2.942,0,0,0,0,10.765,,0.707
64041,Township,Township,NA,NA,NA,195,,,,,,1.414,,,,,,,
64050,Township,Township,NA,NA,NA,556,0.233,,0,0,,3.998,0,0,0,,0,,
64056,Township,Township,NA,NA,NA,1949,0.322,,0,0,0,3.636,0,0,0,0,0,,
64084,Township,Township,NA,NA,NA,123,0,,0,,10.5,2.439,0,0,0,0,0,,
64086,Township,Township,NA,NA,NA,3576,1.314,,0,0.24,0,2.306,0,0,0,0,0,,0.707
64089,Township,Township,NA,NA,NA,3599,3.501,,0.031,0.08,0.843,4.519,0,0,0,0,0.047,,1.124
64133,Township,Township,NA,NA,NA,6727,7.404,,0.137,0.4,0,2.543,0,0,0,0,0.988,,0.707
64134,Township,Township,NA,NA,NA,647,1.063,,0,0,0,32.642,0,0,0,0,0,,
64241,Township,Township,NA,NA,NA,6,0,,0,,0,1.745,0,0,0,0,0.775,,
64253,Township,Township,NA,NA,NA,0,1.661,,0,0,0,1.618,2.02,0,0,0,0,,
64330,Township,Township,NA,NA,NA,998,13.638,,0,0.133,0.708,2.57,0,0,0,0,0.44,,0.897
64334,Township,Township,NA,NA,NA,328,86.125,,0,,10.5,1.414,0,0,0,0,0,,
64341,Township,Township,NA,NA,NA,1,,,,,,1.493,,,,,,,
64346,Township,Township,NA,NA,NA,1889,40.333,,0,0,0,1.414,0,0,0,0,0,,0.707
64349,Township,Township,NA,NA,NA,57,0,,0,0,0,1.414,0,0,0,0,0,,
64358,Township,Township,NA,NA,NA,1323,0.667,,0,0,0,1.414,0,0,0,0,0,,
64366,Township,Township,NA,NA,NA,5281,14.877,0,0.047,0.078,1.812,1.665,0,0,0,0,0.138,,0.707
64369,Township,Township,NA,NA,NA,2641,0,,0,,0,5.717,0,0,0,,0,,
64377,Township,Township,NA,NA,NA,2,,,,,,5.675,,,,,,,
64379,Township,Township,NA,NA,NA,112,28.319,,0,0,0,15.805,0,0,0,,1.25,,
64380,Township,Township,NA,NA,NA,936,0,,0,0.51,0,19.932,0,0,0,,,,0.707
64382,Township,Township,NA,NA,NA,9,,,,,,11,,,,,,,
64383,Township,Township,NA,NA,NA,87,0,,0,0.255,0,3.12,,0,0,0,0,,
64384,Township,Township,NA,NA,NA,60,0,,,,,1.414,,,,,,,
64388,Township,Township,NA,NA,NA,1932,10,,0,0,0,5.431,0,0,0,,,,
64399,Township,Township,NA,NA,NA,2585,11.062,,0,0.064,1.163,6.204,0,0,0,0,0.543,,1.514
64410,Township,Township,NA,NA,NA,30,,,,,,1.668,,,,,,,
64411,Township,Township,NA,NA,NA,1558,,,,0.51,,6.635,,0,0,,,,
64424,Township,Township,NA,NA,NA,671,7.587,,0.122,0,0,1.648,,0,0,0,0,,
64461,Township,Township,NA,NA,NA,0,3.5,,0,0.5,0,4.226,0,0,0,,,,
64468,Township,Township,NA,NA,NA,700,0.622,,0,0.03,0,12.231,0,0,0,0,0,,0.707
64478,Township,Township,NA,NA,NA,154,0.127,0,0,0.05,0.31,5.901,0,0,0,0,0.035,,0.707
64507,Township,Township,NA,NA,NA,168,0,,0,0,0,1.769,0,0,0,0,0.125,,
64639,Township,Township,NA,NA,NA,869,1.783,,0,0.106,0,2.235,0,0,0,0,0,,0.707
64662,Township,Township,NA,NA,NA,36,,,,,,2.7,,,,,,,
64663,Township,Township,NA,NA,NA,84,,,,,,3.3,,,,,,,
64667,Township,Township,NA,NA,NA,2,,,,,,1.777,,,,,,,
64675,Township,Township,NA,NA,NA,171,0,,0,0,23,5.09,0.571,0,0,0,0,,
64721,Township,Township,NA,NA,NA,921,1.245,,0,0.01,0,1.414,0,0,0,0,0,,0.707
64722,Township,Township,NA,NA,NA,2246,0.625,,0,0.03,0,13.988,0,0,0,0,0,,0.707
64731,Township,Township,NA,NA,NA,4,,,,,,1.414,,,,,,,
64738,Township,Township,NA,NA,NA,223,0.725,,0,,0,6.943,0,0,0,0,1.475,,
